Y X1 X2 X3 X4 X5 X6 X7 X8 X9 X10
1.34 0.61 0.6 0.35 0.6 0.24 0.44 0.8 0.45 0.16 0.95
2.8 0.28 0.25 0.62 0.16 0.4 0.34 0.67 0.5 0.6 0.19
1.63 0.7 0.8 0.11 0.57 0.25 0.11 0.58 0.01 0.07 0.62
3.05 0.68 0.69 0.43 0.25 0.05 0.06 0.78 0.57 0.47 0.58
4.04 0.9 0.95 0.98 0.97 0.67 0.63 0.6 0.33 0.55 0.4
0.34 0.24 0.37 0.58 0.26 0.23 0.21 0.44 0.35 0.57 0.73
2.86 0.84 1.02 0.4 0.05 0.91 0.06 0.46 0.27 0.56 0.73
1.46 0.46 0.31 0.06 0.94 0.02 0.16 0.59 0.04 0 0.16
0.86 0.37 0.34 0.01 0.54 0.88 0.15 0.92 0.4 0.62 0.3
3.53 0.8 0.93 0.17 0.28 0.31 0.89 0.44 0.25 0.11 0.78
1.34 0.09 0.04 0.98 0.32 0.65 0.86 0.83 0.72 0.21 0.92
1.55 0.29 0.35 0.4 0.3 0.65 0.18 0.89 0.27 0.69 0.87
2.83 0.97 1.04 0.04 0.44 0.25 0.11 0.49 0.47 0.38 0.36
3.77 0.47 0.5 0.22 0.79 0.77 0.39 0.55 0.95 0.2 0.72
0.44 0.21 0.27 0.36 0.01 0.15 0.3 0.29 0.25 0.28 0.05
2.98 0.55 0.65 0.84 0.39 0.53 0.16 0.25 0.4 0 0.95
3.06 0.1 0.04 0.98 0.8 0.69 0.22 0.08 0.87 0.45 0.4
0.96 0.35 0.53 0.35 0.23 0.22 0.5 0.99 0.83 0.9 0.24
0.44 0.33 0.37 0.07 0.47 0.02 0.13 0.42 0.08 0.9 0.18
-0.65 0 0.01 0.2 0.48 0.49 0.26 0.35 0.04 0.58 0.61
0.96 0.64 0.67 0.12 0.89 0.58 0.56 0.72 0.46 0.09 0.9
2.6 0.5 0.62 0.32 0.16 0.04 0.89 0.92 0.85 0.81 0.43
3.19 0.22 0.39 0.82 0.33 0.81 0.3 0.14 0.4 0.08 0.97
4.55 0.58 0.62 0.7 0.33 0.17 0.74 0.1 0.51 0.14 0.52
-0.13 0.09 0.09 0.93 0.49 0.8 0.79 0.09 0.61 0.74 0.64
3.2 0.98 1.01 0 0.3 0.57 0.64 0.65 0.23 0.08 0.13
2.98 0.73 0.75 0.81 0.14 0.83 0.26 0.37 0.08 0.65 0.47
2.47 0.51 0.7 0.42 0.47 0.06 0.91 0.21 0.77 0.74 0.94
3.72 0.9 0.89 0.18 0.22 0.98 0.19 0.33 0.78 0.81 0.69
1.89 0.21 0.14 0.39 0.35 0.08 0.31 0.65 0.09 0.94 0.43
3.97 0.61 0.64 0.52 0.39 0.78 0.84 0.26 0.97 0.63 0.93
3.11 0.96 1 0.11 0.27 0.1 0.77 0.13 0.67 0.08 0.49
2.06 0.2 0.21 0.51 0.16 0.71 0.61 0.81 0.91 0.87 0.93
1.56 0.78 0.55 0.56 0.75 0.03 0.58 0.96 0.93 0.64 0.52
1.02 0.43 0.4 0.31 0.51 0.16 0.42 0.81 0.39 0.28 0.36
2.12 0.22 0.25 0.76 0.88 0.35 0.69 0.55 0.83 0.89 0.46
2.71 0.75 0.72 0.59 0.49 0.73 0.43 0.24 0.1 0.25 0.13
2.3 0.1 0.2 0.66 0.27 0.07 0.21 0.42 0.5 1 0.64
2.4 0.73 0.69 0.19 0.46 0.7 0.69 0.28 0.27 0.64 0.58
-0.9 0 0.01 0.03 0.56 0.33 0.75 0.24 0.1 0.53 0.53
3.84 0.57 0.64 0.27 0.27 0.05 0.61 0.52 0.49 0.12 0.14
2.42 0.9 0.99 0.31 0.45 0.82 0.34 0.98 0.63 0.46 0.16
3.04 0.74 0.7 0.29 0.26 0.48 0.54 0.65 0.64 0.55 0.21
4.7 0.76 0.65 0.36 0.47 0.23 0.58 0.73 0.1 0.87 0.74
2.15 0.08 0.25 0.22 0.74 0.1 0.26 0.88 0.3 0.58 0.82
3.99 0.58 0.51 0.42 0.26 0.4 0.12 0.12 0.05 0.57 0.79
3.73 0.84 0.72 0.54 0.26 0.28 0.5 0.06 0.85 0.38 0.81
0.78 0.14 0.16 0.35 0.69 0.04 0.76 0.01 0.8 0.55 0.42
3.43 0.41 0.36 0.56 0.53 0.11 0.36 0.75 0.97 0.9 0.71
3.15 0.52 0.61 0.48 0.65 0.61 0.02 0.18 0.59 0.83 0.79
2.13 0.13 0.19 0.06 0.63 0.27 0.48 0.29 1 0.02 0.28
0.84 0.27 0.22 0.45 0.14 0.37 0.19 0.11 0.93 0.68 0.31
2.02 0.33 0.42 0.33 0.91 0.9 0.68 0.03 0.58 0.36 0.08
0.87 0.04 0.05 0.27 0.7 0.41 0.21 0.17 0.32 0.74 0.59
1.41 0.41 0.37 0.79 0.66 0.81 0.65 0.17 0.19 0.78 0.98
0.83 0.05 0.21 0.85 0.43 0.89 0.92 0.34 0.09 0.14 0.51
3.34 0.21 0.23 0.71 1 0.31 0.32 0.34 0.45 0.92 0.92
1.55 0.16 0.15 0.34 0.19 0.48 0.67 0.83 0.46 0.87 0.95
0.84 0.3 0.16 0.52 0.59 0.12 0.91 0.68 0.2 0.27 0.44
3.38 0.84 0.89 0.45 0.5 0.79 0.23 1 0.83 0.77 0.65
-0.75 0.17 0.05 0.13 0.25 0.41 0.29 0.3 0.3 0.04 0.88
2.84 0.33 0.24 0.97 0.89 0.75 0.6 0.3 0.04 0.93 0.21
3.54 0.54 0.56 0.63 0.88 0.56 0.81 0.42 0.07 0.11 0.05
4.03 0.83 0.81 0.43 0.5 0.12 0.41 0.34 0.91 0.74 0.13
4.19 0.36 0.22 0.4 0.9 0.39 0.6 0.17 0.19 0.82 0.53
2.98 0.26 0.28 0.43 0.5 0.59 0.2 0.37 0.18 0.21 0.63
2.54 0.6 0.47 0.51 0.99 0.89 0.06 0.51 0.13 0.06 0.32
3.5 0.84 0.85 0.35 0.73 0.86 0.9 0.4 0.66 0.74 0.46
4.17 0.99 0.79 0.59 0.04 0.84 0.66 0.8 0.85 0.71 0.61
2.8 0.9 0.78 0.42 0.19 0.67 0.32 0.69 0.05 0.5 0.74
4.28 0.75 0.91 0.64 0.49 0.17 0.04 0.37 0.2 0.65 0.97
1.76 0.13 0.11 0.67 0.08 0.38 0.9 0.91 0.37 0.12 0.55
0.66 0.01 0.08 0.74 0.47 0.31 0.43 0.61 0.77 0.72 1
1.87 0.27 0.45 0.25 0.04 0.22 0.04 0.17 0.88 0.36 0.01
1.62 0.71 0.92 0.69 0.6 0.24 0.35 0.26 0.54 0.77 0.29
1.45 0.63 0.54 0.15 0.1 0.89 0.99 0.56 0.17 0.09 0.12
